Date,Area_Num,Area,Temperature,Humidity,Pressure,Wind,Rainfall,Cloud,Snowfall,Discomfort
2016-01-01 0:00,108,Seoul,-1.9,0.85,1022.1,0.1,0,0,0,31.00715
2016-01-01 1:00,108,Seoul,-2.1,0.83,1022,1.6,0,0,0,31.00443
2016-01-01 2:00,108,Seoul,-2.2,0.86,1022.2,0.4,0,0,0,30.34692
2016-01-01 3:00,108,Seoul,-2.5,0.9,1022.2,1.8,0,0,0,29.1775
2016-01-01 4:00,108,Seoul,-2.9,0.9,1022,1.9,0,0,0,28.4971
2016-01-01 5:00,108,Seoul,-3.2,0.92,1021.9,2,0,2,0,27.63744
2016-01-01 6:00,108,Seoul,-3.1,0.9,1022.1,1.3,0,8,0,28.1569
2016-01-01 7:00,108,Seoul,-2.6,0.88,1022.2,1.6,0,8,0,29.34488
2016-01-01 8:00,108,Seoul,-2.4,0.88,1022.2,2.4,0,8,0,29.68112
2016-01-01 9:00,108,Seoul,-2,0.84,1022.5,2,0,7,0,31.0048
2016-01-01 10:00,108,Seoul,-0.6,0.72,1022.7,1.1,0,6,0,35.09032
2016-01-01 11:00,108,Seoul,1.5,0.7,1022.5,1.3,0,8,0,38.5445
2016-01-01 12:00,108,Seoul,2.2,0.66,1021.4,1.9,0,9,0,40.08148
2016-01-01 13:00,108,Seoul,3.1,0.6,1020.1,1.3,0,8,0,42.0724
2016-01-01 14:00,108,Seoul,3.6,0.56,1019.5,0.9,0,9,0,43.20384
2016-01-01 15:00,108,Seoul,4,0.57,1019.2,3.1,0,8,0,43.6462
2016-01-01 16:00,108,Seoul,3.9,0.59,1018.5,3,0,9,0,43.29999
2016-01-01 17:00,108,Seoul,3.9,0.61,1018.4,2.2,0,9,0,43.09121
2016-01-01 18:00,108,Seoul,3.8,0.63,1018.3,3,0,8,0,42.73906
2016-01-01 19:00,108,Seoul,3.8,0.64,1018.2,2.6,0,0,0,42.63368
2016-01-01 20:00,108,Seoul,3.8,0.65,1018,2,0,0,0,42.5283
2016-01-01 21:00,108,Seoul,3.7,0.65,1017.6,1,0,8,0,42.38295
2016-01-01 22:00,108,Seoul,3.7,0.65,1017,0.8,0,0,0,42.38295
2016-01-01 23:00,108,Seoul,3.6,0.68,1016.7,0.3,0,0,0,41.91552
2016-01-02 0:00,108,Seoul,3.6,0.69,1016.1,0.6,0,8,0,41.80816
2016-01-02 1:00,108,Seoul,3.4,0.72,1015.9,0.7,0,0,0,41.18152
2016-01-02 2:00,108,Seoul,3.4,0.7,1015.5,0.7,0,0,0,41.4002
2016-01-02 3:00,108,Seoul,3,0.74,1015.1,1.7,0,8,0,40.3458
2016-01-02 4:00,108,Seoul,2.6,0.76,1014.6,1.2,0,8,0,39.49424
2016-01-02 5:00,108,Seoul,2.2,0.78,1014.1,1.9,0,7,0,38.62684
2016-01-02 6:00,108,Seoul,2,0.77,1014,1.6,0,9,0,38.4336
2016-01-02 7:00,108,Seoul,1.5,0.82,1013.3,1.6,0,6,0,37.0067
2016-01-02 8:00,108,Seoul,1,0.83,1013.3,1.9,0,3,0,36.0627
2016-01-02 9:00,108,Seoul,1.9,0.78,1013.6,2,0,7,0,38.15218
2016-01-02 10:00,108,Seoul,3.4,0.74,1013.9,1.9,0,8,0,40.96284
2016-01-02 11:00,108,Seoul,5,0.68,1013.6,1.6,0,6,0,43.992
2016-01-02 12:00,108,Seoul,6.2,0.67,1012.7,1.8,0,8,0,45.85346
2016-01-02 13:00,108,Seoul,7.5,0.63,1011.7,1.3,0,9,0,48.04375
2016-01-02 14:00,108,Seoul,8.8,0.66,1010.9,2.8,0,9,0,49.73992
2016-01-02 15:00,108,Seoul,9.1,0.68,1010.5,2.7,0,7,0,50.07312
2016-01-02 16:00,108,Seoul,9.4,0.68,1010,3.3,0,7,0,50.51808
2016-01-02 17:00,108,Seoul,8.9,0.72,1010.1,3.1,0,8,0,49.55692
2016-01-02 18:00,108,Seoul,8.6,0.78,1010.1,2.9,0,8,0,48.75292
2016-01-02 19:00,108,Seoul,8.5,0.8,1010.3,1.8,0,0,0,48.477
2016-01-02 20:00,108,Seoul,8,0.84,1010,1.7,0,0,0,47.4208
